iter	Logloss
0	0.6852380001
1	0.67402857
2	0.6630186601
3	0.652128971
4	0.6428223812
5	0.6351081964
6	0.6270780852
7	0.6198832772
8	0.6139314825
9	0.6072762229
10	0.6001941219
11	0.5923338225
12	0.5863823746
13	0.5784297712
14	0.5720366854
15	0.5648782326
16	0.5592434045
17	0.5524314534
18	0.5488893914
19	0.5442180056
20	0.5388894515
21	0.5346914349
22	0.5292028947
23	0.5246098836
24	0.5200467543
25	0.5152478074
26	0.5115358757
27	0.5063508352
28	0.5037229711229	0.4983382948330	0.495253245
31	0.4907573353
32	0.487530217
33	0.4828928456
34	0.4786565376
35	0.4750668208
36	0.4720065377
37	0.4677393653
38	0.4648505702
39	0.4619519783
40	0.4596954115
41	0.4567319986
42	0.4515518131
43	0.4488045664
44	0.4465516119
45	0.4430376689
46	0.4403747212
47	0.4364241109
48	0.4341022318
49	0.432719404
50	0.4290308808
51	0.4268972801
52	0.4251616796
53	0.4228269693
54	0.4205901984
55	0.4171637333
56	0.4141491977
57	0.4123008901
58	0.4103818084
59	0.4067817457
60	0.4021843997
61	0.3992649425
62	0.3969432079
63	0.3935302388
64	0.3898305026
65	0.3873744733
66	0.3850376823
67	0.3836055813
68	0.3817350792
69	0.3802789052
70	0.3774696697
71	0.3746218248
72	0.3732351245
73	0.3714987726
74	0.3698108557
75	0.3674769547676	0.3646107587
77	0.3632777821
78	0.360864437
79	0.3575169823
80	0.3560931466
81	0.3545463157
82	0.3535628174
83	0.3520797961
84	0.3510240497
85	0.3494777679
86	0.348486987
87	0.3458518404
88	0.3438257738
89	0.3416914217
90	0.3401686928
91	0.3390427792
92	0.3381930843
93	0.3355294719
94	0.3348460631
95	0.3324376887
96	0.3304513295
97	0.3293806712
98	0.3279713139
99	0.3268863794
100	0.3258498799
101	0.3238574808
102	0.3224663012
103	0.3218153751
104	0.3203026165
105	0.3190502976
106	0.3184115381
107	0.3170447783
108	0.3148677132
109	0.3132712046
110	0.3111851143
111	0.3101447134
112	0.3090993997
113	0.3073316343
114	0.306469137
115	0.3052691835
116	0.3042076573
117	0.302302794
118	0.3014668551
119	0.300396717
120	0.2995950525
121	0.2989719853
122	0.2977847475
123	0.2965987234
124	0.2952868722
125	0.2940672094
126	0.2936620134
127	0.2927867427
128	0.2915620515
129	0.290266615
130	0.2892404036
131	0.2883619251
132	0.2873431986
133	0.2863034913
134	0.2855356968
135	0.2843330846
136	0.2832375729
137	0.2825531237
138	0.281425505
139	0.279803016
140	0.2784516595
141	0.277426344
142	0.2766534054
143	0.2752441348
144	0.2744211139
145	0.2736762076
146	0.2721659342
147	0.2708012841
148	0.2695627791
149	0.2685382727
150	0.2670667822
151	0.2661918871
152	0.2656319936
153	0.2647780216
154	0.2632943645
155	0.2625177846
156	0.2618366299
157	0.2610304861
158	0.2602194295
159	0.2592498317
160	0.2588147828
161	0.2580840371
162	0.2566294237
163	0.2561334552
164	0.2557248202
165	0.2548484224
166	0.2540924188
167	0.252271421
168	0.2512126113
169	0.2501452475
170	0.2491805337
171	0.2487801639
172	0.2480985468
173	0.247375864
174	0.246793169

